Altium Designer Pick and Place Locations
C:\VIRGIL\AAA__JOB\ALTIUM\STM\Projets\MB1364E\BASE\MB1364E\03-Manufacturing\MB1364E_PCB\Assembly\MB1364-E01_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       14/10/19
Time:       21:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                        Layer       Footprint                                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                       
CART1      Comment                        TopLayer    Sheetbox_6L2S                                              40.2366      -23.2154     0        ""                                                                                                                                                                                                
R32        Resistor                       TopLayer    R0402                                                      24.1500      94.4500      90       Resistor,56K,0402,1%,1/16W                                                                                                                                                                        
R4         Resistor                       TopLayer    R0603                                                      11.0660      126.7789     180      Resistor,100K,0603,1%,1/10W                                                                                                                                                                       
R31        Resistor                       TopLayer    R0402                                                      23.1000      94.4500      270      Resistor,27K,0402,1%,1/16W                                                                                                                                                                        
R30        Resistor                       TopLayer    R0402                                                      20.6660      98.7039      0        Resistor,10K,0402,1%,1/16W                                                                                                                                                                        
C2         Capacitor                      TopLayer    C0603                                                      12.4410      131.2789     180      "Capacitor, MLCC, 100nF, 6V3, X5R, 10%, 0603, T=0,8mm"                                                                                                                                            
C4         Capacitor                      TopLayer    C0603                                                      12.4410      128.1789     360      "Capacitor, MLCC, 100nF, 6V3, X5R, 10%, 0603, T=0,8mm"                                                                                                                                            
U1         SN74LVC2T45DCUT                TopLayer    ICC_VSSOP8_DCU_R-PDSO-G8_2X2P30_P050                       9.8660       129.7289     180      "Dual bit dual supply bus transceiver"                                                                                                                                                            
SB13       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     36.5250      84.9000      270      "Solder Bridge ON"                                                                                                                                                                                
SB25       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     26.2500      77.5250      270      "Solder Bridge ON"                                                                                                                                                                                
C61        Capacitor                      TopLayer    C0603                                                      26.5250      56.3250      90       "Capacitor, MLCC, 1uF, 6V3, X5R, 10%, 0603, T=0,8mm"                                                                                                                                              
C50        Capacitor                      TopLayer    C0603                                                      48.9250      79.8750      180      "Capacitor, MLCC, 2.2uF, 10V, X5R, 10%, 0603, T=0,8mm"                                                                                                                                            
C48        Capacitor                      TopLayer    C0603                                                      26.5250      84.6750      360      "Capacitor, MLCC, 2.2uF, 10V, X5R, 10%, 0603, T=0,8mm"                                                                                                                                            
X2         XTAL_2_PINS                    TopLayer    CRY_NX3215SA_2P                                            29.9250      54.9000      180      "Crystal 32.768kHz, 6pF, +-20ppm, 50Kohms max, SMD"                                                                                                                                               
X3         XTAL_4_PINS                    TopLayer    CRY_NX2016SA_4P                                            37.3500      54.4250      360      "Crystal 25MHz, 6pF, +-20ppm, 80ohms max, SMD"                                                                                                                                                    
X1         OSCILLATOR_4_PINS              TopLayer    OSC_NDK_NZ2520SB_4P                                        29.0410      110.9039     90       "Oscillator 25Mhz, +-50ppm, Vcc:3.3V typ, square wave: [0.1Vcc;0.9Vcc], Enable pin, SMD"                                                                                                          
X4         XTAL_4_PINS                    TopLayer    CRY_NX2016SA_4P                                            43.6660      39.3789      90       "Crystal 25MHz, 6pF, +-20ppm, 80ohms max, SMD"                                                                                                                                                    
U22        ESD-TRANSIL                    TopLayer    ESD_ST0201                                                 18.6160      5.8789       180      "ESD protection 6V1"                                                                                                                                                                              
U19        USBLC6-2SC6                    TopLayer    ESD_SOT23-6L                                               21.1660      8.2789       180      "Very low capacitance ESD protection"                                                                                                                                                             
U18        STMPS2141STR                   TopLayer    MOS_SOT23-5L                                               28.6911      12.1240      360      "Enhanced single channel power switches with active low enable pin"                                                                                                                               
U21        ESD-TRANSIL                    TopLayer    ESD_QFN2_1P6X1_P125                                        24.8660      6.1289       0        "High power transient voltage suppressor, 7V breakdown"                                                                                                                                           
U20        ESD-TRANSIL                    TopLayer    ESD_ST0201                                                 55.7478      8.5227       270      "ESD protection 6V1"                                                                                                                                                                              
U23        ESD-TRANSIL                    TopLayer    ESD_ST0201                                                 14.5660      3.7039       270      "ESD protection 6V1"                                                                                                                                                                              
U9         LD3985M33R                     TopLayer    REG_SOT23-5L                                               45.2910      117.8289     90       "Ultra low drop-low noise BiCMOS voltage, regulators low ESR capacitors compatible"                                                                                                               
U5         ECMF02-2AMX6                   TopLayer    ESD_QFN-6L_1P7X1P5_P050                                    49.5410      126.5039     360      "Common mode filter with ESD protection for USB 2.0 interface"                                                                                                                                    
U10        SN74LVC2T45DCUT                TopLayer    ICC_VSSOP8_DCU_R-PDSO-G8_2X2P30_P050                       15.8660      116.4289     90       "Dual bit dual supply bus transceiver"                                                                                                                                                            
U2         STMPS2151STR                   TopLayer    MOS_SOT23-5L                                               39.9160      129.1136     180      "500mA, Enhanced single channel power switches with active high enable pin"                                                                                                                       
U6         ESD-TRANSIL                    TopLayer    ESD_QFN2_1P6X1_P125                                        52.0237      126.2928     360      "High power transient voltage suppressor, 7V breakdown"                                                                                                                                           
U4         ESD-TRANSIL                    TopLayer    ESD_ST0201                                                 22.9910      128.6789     180      "ESD protection 6V1"                                                                                                                                                                              
U24        ESDALC6V1W5                    BottomLayer ESD_SOT323-5L                                              8.9910       115.3539     180      "Dual Transil array for ESD protection"                                                                                                                                                           
U8         ESDALC6V1W5                    TopLayer    ESD_SOT323-5L                                              14.6160      120.6539     270      "Dual Transil array for ESD protection"                                                                                                                                                           
U13        ST1L05BPUR                     TopLayer    ICC_DFN6-EPAD_3X3_P095                                     20.6660      94.9289      270      "LDO Linear Voltage Regulator IC Positive Adjustable 1 Output Adjustable 1.3A 6-DFN (3x3)"                                                                                                        
U11        ST1L05CPU33R                   TopLayer    ICC_DFN6-EPAD_3X3_P095                                     59.3480      109.3759     180      "LDO, 3.3V, 1.3A, Very low quiescent current BiCMOS voltage regulator"                                                                                                                            
U7         ST-LINKV3E_SWD                 TopLayer    ICC_UFBGA201_176+25_10X10_P065                             29.0661      119.9039     90       "STM32F723IEK  (STM32F7) BGA176"                                                                                                                                                                  
U15        LAN8742A-CZ-TR                 TopLayer    ICC_VQFN24-EPAD_4X4_P050                                   37.6910      38.6289      180      "10/100M RMII Ethernet transceiver"                                                                                                                                                               
U17        KMS-1102NL                     TopLayer    TRS_DGKYD_KMS-1102NL                                       41.3460      22.8589      180      "Discrete Magnetic Transformer Module, 16 pins, SMT, 100 Base-TX"                                                                                                                                 
U16        USBLC6-4SC6                    TopLayer    ESD_SOT23-6L                                               37.6910      32.2789      180      "Very low capacitance ESD protection , 4 lines"                                                                                                                                                   
T1         9013-SOT23                     TopLayer    NPN_SOT23                                                  29.3910      6.9540       270      "NPN Bipolar Transistor"                                                                                                                                                                          
SB75       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     51.1625      38.1000      360      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB71       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.4375      46.6250      360      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB67       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.4375      54.9000      360      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB69       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.3625      53.3000      180      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB60       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.3625      56.0000      180      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB53       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.4375      60.9500      360      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB28       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     51.0875      72.9439      180      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB26       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     31.8250      74.3250      360      "Solder Bridge ON"                                                                                                                                                                                
SB35       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     30.7250      68.4750      180      "Solder Bridge ON"                                                                                                                                                                                
SB63       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     51.1625      56.3750      360      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB62       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.3625      59.3500      180      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB73       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     51.0875      40.6750      180      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB38       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     51.1625      68.4000      360      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB7        SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     46.4500      94.7500      90       "Solder Bridge ON"                                                                                                                                                                                
SB18       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     49.2750      85.0000      90       "Solder Bridge ON"                                                                                                                                                                                
SB56       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     46.0250      57.9500      270      "Solder Bridge ON"                                                                                                                                                                                
SB77       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     28.6460      17.0940      270      "Solder Bridge ON"                                                                                                                                                                                
SB43       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     40.5500      63.8500      270      "Solder Bridge ON"                                                                                                                                                                                
SB52       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     26.5250      59.8750      90       "Solder Bridge ON"                                                                                                                                                                                
SB8        SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     49.2750      87.8000      90       "Solder Bridge ON"                                                                                                                                                                                
SB34       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     20.4500      69.0750      360      "Solder Bridge ON"                                                                                                                                                                                
SB9        SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     47.8750      87.8000      90       "Solder Bridge ON"                                                                                                                                                                                
SB70       SB_ON                          BottomLayer SOLDER-BRIDGE_R0402-0R                                     18.3625      51.7000      180      "Solder Bridge 0402 ON"                                                                                                                                                                           
SB30       SB_ON                          BottomLayer SOLDER-BRIDGE_R0603-0R                                     20.4500      72.6000      360      "Solder Bridge ON"                                                                                                                                                                                
