Altium Designer Pick and Place Locations
C:\Users\adamg\WORK\NeuronToBrainLaboratory2019\MEA_CLDP\pcb\V003\Project Outputs\Pick Place\Pick Place for MEA_CLDP.txt

========================================================================================================================
File Design Information:

Date:       25-07-19
Time:       17:05
Revision:   6cb69f4c722cd1bc07efcc3850ebd8f1b8201845
Variant:    No variations
Units used: mm

Designator  Comment                           Layer       Footprint                                         Center-X(mm) Center-Y(mm) Rotation Description                                                       
R21         100R                              BottomLayer R0805                                             185.4500     24.7500      180      ERJ-6ENF1000V                                                     
R23         100R                              BottomLayer R0805                                             181.3501     24.7501      180      ERJ-6ENF1000V                                                     
R22         100R                              TopLayer    R0805                                             179.8000     24.7500      180      ERJ-6ENF1000V                                                     
R24         100R                              TopLayer    R0805                                             175.3000     24.7500      180      ERJ-6ENF1000V                                                     
P29         "Header 6X2A"                     TopLayer    PPPC062LJBN-RC                                    180.1000     20.7300      360      "Header, 6-Pin, Dual row"                                         
P28         "Header 4H"                       TopLayer    PEC04SBAN                                         184.2500     31.5600      270      "Header, 4-Pin, Right Angle"                                      
P27         "Header 4H"                       TopLayer    PPTC041LGBN-RC                                    182.2500     31.5600      270      "Header, 4-Pin, Right Angle"                                      
J6          2001-1-2-21-00-BK                 TopLayer    *CNC_2001-1-2-21-00-BK_2001-1-2-21-00-BK(Primary) 178.5050     41.1250      180      "Mini Hdmi 19p Female Smt"                                        
R20_A4      0R                                TopLayer    rcl_0402i_1005m_most                              117.7500     26.5000      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                 
R20_A3      0R                                BottomLayer rcl_0402i_1005m_most                              151.7500     26.9300      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                 
R20_A2      0R                                BottomLayer rcl_0402i_1005m_most                              131.7500     27.0000      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                 
R20_A1      0R                                TopLayer    rcl_0402i_1005m_most                              137.7500     26.5000      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                 
C13         capacitor_npol_ame                TopLayer    rcl_0402i_1005m_most                              64.2500      15.9330      90       "Capacitor Non-polarized American Symbol"                         
C12         10uF                              TopLayer    C0805                                             67.2500      16.4530      90       "CAP 10UF"                                                        
VR3_S2      "Tunable 1M Max"                  TopLayer    res_var_5turn                                     86.5200      28.5530      180      "TRIMMER 1M OHM 0.25W J LEAD TOP"                                 
