Altium Designer Pick and Place Locations
C:\Users\ISML\Documents\GitHub\uNIT\pcb\V004\UNIT_V004_Panel\Project Outputs\Pick Place\Pick Place for UNIT_V004_Panel1.txt

========================================================================================================================
File Design Information:

Date:       26-11-20
Time:       22:17
Revision:   f80c6fb15ada1946168864f88c2de9fc29ad5750
Variant:    No variations
Units used: mm

Designator Comment                           Layer       Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                                                                                                       
C5B        C1608X5R1A106K080AC               TopLayer    CAPC1608X90X20ML10                    26.2232      41.0407      270      "Chip Capacitor, 10 uF, +/- 10%, 10 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                   
J2B        1mm_18pin                         TopLayer    1MM_18PIN                             21.9052      33.8000      180      ""                                                                                                                
RREFB      CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 25.3342      26.4357      180      ""                                                                                                                
R3B        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  34.2242      33.9287      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
RE0B       CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 31.4672      40.0247      180      ""                                                                                                                
RE1B       CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 30.0162      40.0247      180      ""                                                                                                                
J1B        1mm_12pin                         TopLayer    1MM_12PIN                             35.8542      33.8000      180      ""                                                                                                                
R2B        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  34.2242      36.5957      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
R1B        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  34.2242      31.2617      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
U1B        "Intan Technologies RHS2116 chip" TopLayer    QFN44_7_X_7                           27.7472      33.3417      90       ""                                                                                                                
C4B        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 26.4772      27.8327      360      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C3B        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 29.1442      27.8327      180      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C2B        GRM188R71H103KA01D                TopLayer    CAPC1608X90X35ML10T15                 31.2132      38.2467      360      "Chip Capacitor, 10 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                  
C1B        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 27.7472      39.2997      270      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C5A        C1608X5R1A106K080AC               TopLayer    CAPC1608X90X20ML10                    5.4834       41.0130      270      "Chip Capacitor, 10 uF, +/- 10%, 10 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                   
J2A        1mm_18pin                         TopLayer    1MM_18PIN                             1.1654       33.7722      180      ""                                                                                                                
RREFA      CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 4.5944       26.4080      180      ""                                                                                                                
R3A        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  13.4844      33.9010      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
RE0A       CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 10.7274      39.9970      180      ""                                                                                                                
RE1A       CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 9.2764       39.9970      180      ""                                                                                                                
J1A        1mm_12pin                         TopLayer    1MM_12PIN                             15.1144      33.7722      180      ""                                                                                                                
R2A        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  13.4844      36.5680      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
R1A        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  13.4844      31.2340      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
U1A        "Intan Technologies RHS2116 chip" TopLayer    QFN44_7_X_7                           7.0074       33.3140      90       ""                                                                                                                
C4A        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 5.7374       27.8050      360      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C3A        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 8.4044       27.8050      180      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C2A        GRM188R71H103KA01D                TopLayer    CAPC1608X90X35ML10T15                 10.4734      38.2190      360      "Chip Capacitor, 10 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                  
C1A        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 7.0074       39.2720      270      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C5C        C1608X5R1A106K080AC               TopLayer    CAPC1608X90X20ML10                    5.3248       16.3956      270      "Chip Capacitor, 10 uF, +/- 10%, 10 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                   
J2C        1mm_18pin                         TopLayer    1MM_18PIN                             1.0069       9.1549       180      ""                                                                                                                
RREFC      CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 4.4359       1.7906       180      ""                                                                                                                
R3C        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  13.3259      9.2836       90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
RE0C       CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 10.5689      15.3796      180      ""                                                                                                                
RE1C       CRCW06030000Z0EAHP                TopLayer    RESC1609X55X30NL10T20                 9.1179       15.3796      180      ""                                                                                                                
J1C        1mm_12pin                         TopLayer    1MM_12PIN                             14.9559      9.1549       180      ""                                                                                                                
R2C        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  13.3259      11.9506      90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
R1C        CRCW0603100RFKEA                  TopLayer    RESC1609X50X30ML8T20                  13.3259      6.6166       90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW,-55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Ree"                  
U1C        "Intan Technologies RHS2116 chip" TopLayer    QFN44_7_X_7                           6.8489       8.6966       90       ""                                                                                                                
C4C        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 5.5789       3.1876       360      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C3C        GRM188R71H104KA93D                TopLayer    CAPC1608X90X35ML10T15                 8.2459       3.1876       180      "Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                 
C2C        GRM188R71H103KA01D                TopLayer    CAPC1608X90X35ML10T15                 10.3149      13.6016      360      "Chip Capacitor, 10 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                  
